book_id,book_title,book_image,book_description,author_id,imprint_id
1,WHERE THE CRAWDADS SING,https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",1,1
2,THE SAVIOR,https://storage.googleapis.com/du-prd/books/images/9781501194962.jpg,The 17th book in the Black Dagger Brotherhood series. Secrets about inhumane experiments surface at a biomedical firm.,2,2
3,A GENTLEMAN IN MOSCOW,https://storage.googleapis.com/du-prd/books/images/9780670026197.jpg,"A Russian count undergoes 30 years of house arrest in the Metropol hotel, across from the Kremlin.",3,3
4,SUPERMARKET,https://storage.googleapis.com/du-prd/books/images/9781982127138.jpg,A depressed young man’s secrets are exposed when the grocery store where he works becomes a crime scene.,4,4
5,THE CORNWALLS ARE GONE,https://storage.googleapis.com/du-prd/books/images/9780316485555.jpg,An Army intelligence officer must commit a crime or lose her kidnapped husband and daughter.,5,5
6,THE TATTOOIST OF AUSCHWITZ,https://storage.googleapis.com/du-prd/books/images/9780062797155.jpg,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.,6,6
7,THE WOMAN IN THE WINDOW,https://storage.googleapis.com/du-prd/books/images/9780062678416.jpg,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,7,7
8,RUN AWAY,https://storage.googleapis.com/du-prd/books/images/9781538748466.jpg,A family is torn apart when the daughter becomes addicted to drugs and goes missing.,8,8
9,THE FIRST LADY,https://storage.googleapis.com/du-prd/books/images/9781538714928.jpg,Sally Grissom investigates the disappearance of President Harrison Tucker’s wife.,5,8
10,CELTIC EMPIRE,https://storage.googleapis.com/du-prd/books/images/9780735219007.jpg,The 25th book in the Dirk Pitt series.,9,1
11,THE SILENT PATIENT,https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,10,9
12,THE LOST GIRLS OF PARIS,https://storage.googleapis.com/du-prd/books/images/9780778330271.jpg,Grace Healey investigates the fates of 12 women who were sent to occupied Europe to help the resistance during World War II.,11,10
13,THE A LIST,https://storage.googleapis.com/du-prd/books/images/9781501151033.jpg,The 14th book in the Ali Reynolds Series. An imprisoned fertility doctor seeks revenge.,12,2
14,ELEANOR OLIPHANT IS COMPLETELY FINE,https://storage.googleapis.com/du-prd/books/images/9780735220690.jpg,A young woman’s well-ordered life is disrupted by the I.T. guy from her office.,13,3
15,CEMETERY ROAD,https://storage.googleapis.com/du-prd/books/images/9780062824639.jpg,"The journalist Marshall McEwan returns to his hometown, which is shaken by two deaths and an economy on the brink.",14,7
16,BECOMING,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",15,11
17,EDUCATED,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",16,12
18,THE MATRIARCH,https://storage.googleapis.com/du-prd/books/images/9781538713648.jpg,"A biography of the former first lady Barbara Bush, based on interviews and her private diaries.",17,13
19,THE RIGHT SIDE OF HISTORY,https://storage.googleapis.com/du-prd/books/images/9780062857903.jpg,The conservative political commentator reflects upon what he considers most impactful to Western civilization.,18,14
20,LADIES WHO PUNCH,https://storage.googleapis.com/du-prd/books/images/9781250112101.jpg,A behind-the-scenes look at the daytime talk show “The View.”,19,15
21,MAYBE YOU SHOULD TALK TO SOMEONE,https://storage.googleapis.com/du-prd/books/images/9781328662057.jpg,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,20,16
22,COMMANDER IN CHEAT,https://storage.googleapis.com/du-prd/books/images/9780316528085.jpg,"A sportswriter handicaps the current president’s character, based on how he plays golf.",21,17
23,BAD BLOOD,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",22,18
24,THE UNWINDING OF THE MIRACLE,https://storage.googleapis.com/du-prd/books/images/9780525511359.jpg,"After receiving a terminal cancer diagnosis, a lawyer and mother of two chronicles her life.",23,12
25,SAY NOTHING,https://storage.googleapis.com/du-prd/books/images/9780385521314.jpg,A look at the conflict in Northern Ireland known as the Troubles.,24,19
26,DOING JUSTICE,https://storage.googleapis.com/du-prd/books/images/9780525521129.jpg,The former U.S. Attorney for the Southern District of New York describes some of his career highlights and gives insights into our legal system.,25,18
27,BORN A CRIME,https://storage.googleapis.com/du-prd/books/images/9780399588181.jpg,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”,26,20
28,AMERICAN MOONSHOT,https://storage.googleapis.com/du-prd/books/images/9780062655066.jpg,The development of NASA and the space race against the Soviet Union during the Cold War.,27,6
29,SHORTEST WAY HOME,https://storage.googleapis.com/du-prd/books/images/9781631494369.jpg,"A memoir by the current mayor of South Bend, Ind., and the first openly gay Democratic candidate to run for president of the United States.",28,21
30,SAVE ME THE PLUMS,https://storage.googleapis.com/du-prd/books/images/9781400069996.jpg,A memoir by the former restaurant critic of The New York Times and editor in chief of Gourmet.,29,12
31,WHERE THE CRAWDADS SING,https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg,A woman who survived alone in the marsh becomes a murder suspect.,1,1
32,THE CORNWALLS ARE GONE,https://storage.googleapis.com/du-prd/books/images/9780316485555.jpg,An Army intelligence officer must commit a crime or lose her kidnapped husband and daughter.,5,5
33,THE SAVIOR,https://storage.googleapis.com/du-prd/books/images/9781501194962.jpg,The 17th book in the Black Dagger Brotherhood series. Secrets about inhumane experiments surface at a biomedical firm.,2,2
34,RUN AWAY,https://storage.googleapis.com/du-prd/books/images/9781538748466.jpg,A family is torn apart when the daughter becomes addicted to drugs and goes missing.,8,8
35,CELTIC EMPIRE,https://storage.googleapis.com/du-prd/books/images/9780735219007.jpg,The 25th book in the Dirk Pitt series.,9,1
36,THE SILENT PATIENT,https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,10,9
37,DAISY JONES & THE SIX,https://storage.googleapis.com/du-prd/books/images/9781524798628.jpg,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,30,22
38,CEMETERY ROAD,https://storage.googleapis.com/du-prd/books/images/9780062824639.jpg,"The journalist Marshall McEwan returns to his hometown, which is shaken by two deaths and an economy on the brink.",14,7
39,WOLF PACK,https://storage.googleapis.com/du-prd/books/images/9780525538202.jpg,The Wyoming game wardens Joe Pickett and Katelyn Hamm take on killers working for the Sinaloa cartel.,31,1
40,THE CHEF,https://storage.googleapis.com/du-prd/books/images/9780316530002.jpg,"Caleb Rooney, a police detective and celebrity food truck chef, must clear his name of murder allegations.",32,5
41,WILD CARD,https://storage.googleapis.com/du-prd/books/images/9780735219304.jpg,The 49th book in the Stone Barrington series.,33,1
42,THE LAST ROMANTICS,https://storage.googleapis.com/du-prd/books/images/9780062358202.jpg,A family crisis tests the bonds and ideals of a renowned poet and her siblings.,34,7
43,THE A LIST,https://storage.googleapis.com/du-prd/books/images/9781501151033.jpg,The 14th book in the Ali Reynolds Series. An imprisoned fertility doctor seeks revenge.,12,2
44,THE AMERICAN AGENT,https://storage.googleapis.com/du-prd/books/images/9780062436696.jpg,"The 15th book in the Maisie Dobbs series. While the Germans attack the British Isles, Maisie must solve a case and protect a young evacuee.",35,6
45,THE ISLAND OF SEA WOMEN,https://storage.googleapis.com/du-prd/books/images/9781501154850.jpg,The friendship over many decades of two female divers from the Korean Island of Jeju is pushed to a breaking point.,36,23
46,BECOMING,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,"The former first lady describes how she balanced work, family and her husband’s political ascent.",15,11
47,EDUCATED,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,The daughter of survivalists leaves home for university.,16,12
48,THE MATRIARCH,https://storage.googleapis.com/du-prd/books/images/9781538713648.jpg,"A biography of the former first lady Barbara Bush, based on interviews and her private diaries.",17,13
49,THE RIGHT SIDE OF HISTORY,https://storage.googleapis.com/du-prd/books/images/9780062857903.jpg,The conservative political commentator reflects upon what he considers most impactful to Western civilization.,18,14
50,MAYBE YOU SHOULD TALK TO SOMEONE,https://storage.googleapis.com/du-prd/books/images/9781328662057.jpg,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,20,16
51,COMMANDER IN CHEAT,https://storage.googleapis.com/du-prd/books/images/9780316528085.jpg,"A sportswriter handicaps the current president’s character, based on how he plays golf.",21,17
52,LADIES WHO PUNCH,https://storage.googleapis.com/du-prd/books/images/9781250112101.jpg,A behind-the-scenes look at the daytime talk show “The View.”,19,15
53,DOING JUSTICE,https://storage.googleapis.com/du-prd/books/images/9780525521129.jpg,The former U.S. Attorney for the Southern District of New York describes some of his career highlights and gives insights into our legal system.,25,18
54,BAD BLOOD,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,The rise and fall of the biotech startup Theranos.,22,18
55,AMERICAN MOONSHOT,https://storage.googleapis.com/du-prd/books/images/9780062655066.jpg,The development of NASA and the space race against the Soviet Union during the Cold War.,27,6
56,SAY NOTHING,https://storage.googleapis.com/du-prd/books/images/9780385521314.jpg,A look at the conflict in Northern Ireland known as the Troubles.,24,19
57,THE UNWINDING OF THE MIRACLE,https://storage.googleapis.com/du-prd/books/images/9780525511359.jpg,"After receiving a terminal cancer diagnosis, a lawyer and mother of two chronicles her life.",23,12
