imprint_id,imprint_name
1,Putnam
2,Gallery
3,Penguin
4,Simon & Schuster
5,"Little, Brown"
6,Harper
7,Morrow
8,Grand Central
9,Celadon
10,Park Row
11,Crown
12,Random House
13,Twelve
14,Broadside
15,Thomas Dunne/St. Martin’s
16,Houghton Mifflin Harcourt
17,Hachette
18,Knopf
19,Doubleday
20,Spiegel & Grau
21,Liveright
22,Ballantine
23,Scribner
24,Basic
25,Viking
26,Norton
27,Atria
28,Forge
29,Sourcebooks Landmark
30,Harper Perennial
31,Beacon Press
32,Picador
33,Dey St.
34,"Farrar, Straus & Giroux"
35,Workman
36,Vintage
37,Bantam/Dell
38,HarperCollins Leadership
39,Thomas Nelson
40,Flatiron
41,HarperOne/HarperCollins
42,Zondervan
43,Running Press
44,Northfield
45,Ten Speed
46,HarperOne
47,jimmy patterson
48,Quirk
49,Granity Studios
50,Scholastic
51,Nancy Paulsen
52,Candlewick
53,Tommy Nelson
54,HarperFestival
55,Philomel
56,HarperCollins
57,Dial
58,Abrams
59,Versify
60,Amulet
61,Disney-Hyperion
62,Andrews McMeel/HarperCollins
63,Penguin Workshop
64,Balzer + Bray
65,Wednesday
66,Poppy
67,Holt
68,Delacorte
69,Penguin Audio
70,Macmillan Audio
71,Random House Audio
72,HarperAudio
73,Recorded Books
74,Podium Publishing
75,Brilliance Audio
76,Blackstone Audio
77,Dreamscape Media
78,Audible Studios
79,Harper Audio
80,Hachette Audio
81,Simon & Schuster Audio
82,Avery
83,St. Martin's
84,Tim Duggan
85,Eamon Dolan/Houghton Mifflin Harcourt
86,Dutton
87,Rodale
88,WaterBrook
89,"Melcher/MCD/Farrar, Straus & Giroux"
90,Bloom
91,Canary Street
92,Lioncrest
93,Row House
94,Abrams Appleseed
95,Bloomsbury
96,Disney
97,Back Bay
98,"Little, Brown Spark"
99,Clarion
100,Dey Street
101,Ecco
102,Harper Select
103,Harper Voyager
104,HarperTeen
105,Quill Tree
106,Zonderkidz
107,Hay House
108,Minotaur
109,St. Martin's Griffin
110,Milkweed Editions
111,One World
112,Berkley
113,Broadway
114,Clarkson Potter
115,Grosset & Dunlap
116,Harmony
117,Kokila
118,Pamela Dorman
119,Penguin Press
120,Random House Studio
121,Riverhead
122,TarcherPerigee
123,Avid Reader
124,Gallery/13A
125,Margaret K. McElderry
126,Washington Square
127,Washington Square/Atria
128,Sourcebooks Jabberwocky
129,Sourcebooks Wonderland
130,Tyndale Momentum
131,Abrams Books
132,Ace
133,Akashic Books
134,Aladdin
135,Amistad/HarperCollins
136,Amy Einhorn/Putnam
137,Anchor
138,Algonquin
139,Andrews McMeel
140,Artisan
141,Avon
142,Avon/HarperCollins
143,"Back Bay/Little, Brown"
144,Baker
145,Bantam
146,Beaufort Books
147,Belknap
148,Belknap Press
149,Belknap/Harvard University
150,Berkley Caliber
151,Bird Street
152,Black Oak Books
153,Bird Street Books
154,Blue Rider
155,Callisto Media
156,Center Street
157,Charisma House
158,Chronicle
159,Chronicle Books
160,Cook's Illustrated
161,Crown Archetype
162,Crown Business
163,Crown Forum
164,DAW
165,Del Rey
166,Dell
167,Dey St./Morrow
168,Dey Street/Morrow
169,Disney Publishing Worldwide
170,Ecco/HarperCollins
171,Ellora's Cave
172,Emily Bestler/Atria
173,Entangled
174,FaithWords
175,Feiwel & Friends
176,Free Press
177,FrontLine
178,Gallery Books
179,Golden Books
180,Gossamer
181,Gotham
182,Grand Central Life & Style
183,Grand Central Life and Style
184,Grand Central Publishing
185,Graywolf
186,Guinness World Records
187,Handprint/Chronicle
188,Harlequin
189,Harlequin Books
190,Harlequin Mira
191,Harper Business/HarperCollins
192,Harper Perennial/HarperCollins
193,Harper Sloan
194,Harper/HarperCollins
195,HarperBusiness
196,HarperCollins Publishers
197,HarperWave
198,Harvard Business Review
199,Hazelden
200,Hazelden Publishing
201,Helen Cooper
202,Hogarth
203,Houghton Mifflin Harcourt Publishing
204,Howard
205,Howard Books
206,HTJB
207,Hyperion
208,Hyperion Press
209,InterMix
210,It Books
211,J. Daniels
212,J.B. Salsbury
213,Jessica Sorensen
214,Jeter Publishing/Gallery Books
215,Jossey-Bass
216,Jove
217,Kensington
218,Knopf/McSweeney's
219,Kristen Ashley
220,Lampo
221,Latin Goddess Press
222,Laurelin Paige
223,Lauren Blakely
224,Laurens Publishing
225,Lisa Renee Jones
226,"Little, Brown & Company"
227,Liza Dawson Associates
228,Macmillan
229,Mariner
230,Mariner/Houghton Mifflin Harcourt
231,Metropolitan/ Holt
232,Metropolitan/Holt
233,Modern Library
234,Morgan James
235,Morrow/HarperCollins
236,"Mulholland/Little, Brown"
237,Namaste
238,Nan A. Talese/ Doubleday
239,Nelson Books/Thomas Nelson
240,New American Library
241,New Harbinger/Noetic
242,New Press
243,Open Road
244,Open Road Media
245,Pamela Dorman/Viking
246,Pantheon
247,Penelope Ward
248,Penguin Group
249,Penguin Group (USA) Incorporated
250,Plume
251,Pocket Books
252,Pocket Star
253,Portfolio
254,Portfolio/Penguin
255,Portfolio/Penguin/Putnam
256,Post Hill
257,Quirk Books
258,Random House Publishing
259,Random House Publishing Group
260,Razorbill
261,"Razorbill, paper only"
262,Regnery
263,Richard Jackson/Atheneum
264,Roc
265,Rux Martin/Houghton Mifflin Harcourt
266,"Sarah Crichton/Farrar, Straus & Giroux"
267,Scholastic Press
268,SelectBooks
269,Sentinel
270,Signet
271,Silhouette
272,St. Martin's Press
273,Stepping Stone/Random House
274,Sterling
275,Tarcher/Penguin
276,Thomas Dunne/St. Martin's
277,Thomas Dunne/St. Martin‚Äôs
278,Three Rivers
279,Threshold Editions/Mercury Radio Arts
280,Tor
281,Tor Teen
282,Tor/Tom Doherty
283,Touchstone
284,Touchstone/Simon & Schuster
285,Tyndale
286,Tyndale House
287,Various publishers
288,Victory Belt
289,Vintage Crime/Black Lizard
290,Vintage International
291,Weinstein
292,Weinstein Books
293,Wiley
294,William Morrow
295,Witness Impulse
296,Witness Impulse/HarperCollins
297,Wizards of the Coast
298,Worthy
299,Worthy Publishing
300,Zinc Ink/Ballantine
301,Grove/Atlantic Inc
302,B & H
303,B & H Publishing
304,B&H
305,Baker Books
306,Broadside/HarperCollins
307,Celebra
308,Convergent
309,Convergent Books
310,CreateSpace
311,Dey Street/ Morrow
312,DGS
313,Disney Press
314,Disney/Lucasfilm
315,Dutton/Penguin Publishing Group
316,Europa Editions
317,EverAfter Romance
318,Faith Words
319,Greenwillow/HarperCollins
320,Grove
321,Grove Press
322,Helena Hunting
323,Hoover Ink
324,J.S. Cooper and Helen Cooper
325,Jeremy P. Tarcher/Penguin
326,Katherine Tegen
327,Keywords/Atria
328,Laree Bailey
329,Little  Brown
330,LucasBooks
331,Marian Wood/Putnam
332,Marvel
333,Metal Blonde
334,Mira
335,NAL
336,National Geographic
337,Nelson Books
338,New Word City
339,Oak Press
340,Orbit
341,Pam Krauss
342,Paula Deen Ventures
343,Pepper Winters
344,Princeton University
345,Regan Arts
346,Revell
347,Science Future Press
348,Scout Press
349,"Simon & Schuster,"
350,Simon Pulse
351,Sourcebooks/Jabberwocky
352,South Dakota Historical Society
353,South Dakota Historical Society Press
354,Susan Stoker
355,Ten Speed Press
356,Three Rivers Press
357,Threshold Editions
358,TwoDot
359,Zebra
360,Basic Books
361,Little Brown
362,America's Test Kitchen
363,MIRA
364,Sourcebooks
365,First Second
366,Atheneum/Caitlyn Dlouhy
367,Orchard
368,Imprint
369,Breakneck Media
370,The Great Courses
371,Red Tower
372,Marysue Rucci
373,Seven Seas Entertainment
374,Harper Horizon
375,Andscape
376,Simon Element
377,Liberatio Protocol
378,Hachette Go
379,Disney Hyperion
380,Compendium
381,World of Eric Carle
382,Square Fish
383,Tyndale Audio
384,VIZ Media
385,IDW
386,Pinnacle
387,Greenwillow
388,Atheneum
389,Yearling
390,Sourcebooks Fire
391,Ember
392,Balance
393,The Open Field
394,Countryman
395,Roaring Brook
396,Pocket
397,Tundra
398,Harlequin Audio
399,Harper Business
400,Square Enix
401,Joy Revolution
402,Levine Querido
403,Bright Matter
404,Sourcebooks Explore
405,Christy Ottaviano
406,Entangled Teen
407,Podium Audio
408,Viz Media
409,Union Square Kids
410,Simon & Schuster Audio Originals
411,HQN
412,Hyperion/Disney
413,Audible Originals
414,Random House Worlds
415,Atria/Emily Bestler
416,Zando
417,Hanover Square
418,Harvest
419,Harper Wave
420,Frontline
421,Penguin Life
422,Yen Press
423,Mulholland
424,Forefront
425,Rick Riordan Presents
426,DC Comics
427,Scout
428,Penguin Teen
429,Kodansha
430,Currency
431,Walker
432,Redhook
433,Morrow Cookbooks
434,HarperAlley
435,Dutton Caliber
436,Flamingo
437,Mercury Radio Arts
438,Custom House
439,Nelson
440,Inkyard
441,Ramsey
442,MCD
443,Skyhorse
444,Tor/Forge
445,Black Dog & Leventhal
446,Back Bay/Little Brown
447,Tor Fantasy
448,Callaway
449,"Simon & Schuster, St. Martin''s"
450,Other
451,Beacon
452,DK
453,Hearst Home Kids
454,"Simon & Schuster, St. Martin’s"
455,Legacy Lit
456,‎Dutton
457,Puffin
458,Hachette Books
459,Colleen Hoover
460,‎Back Bay/Little Brown
461,Central Recovery
462,Etch/Clarion
463,Griffin
464,Disney Lucasfilm
465,Blackstone
466,Pushkin Industries
467,Zebra/Kensington
468,Graydon House
469,Avid Reader/Simon & Schuster
470,Tor.com
471,Hard Case Crime
472,jimmy patterson-HMH
473,St. Martin’s Griffin
474,Penguin/Portfolio
475,Milkweed
476,Rockridge
477,Frances Lincoln
478,Gallery/Saga
479,Seal
480,Denene Millner
481,Gildan Media
482,Ramsey Press
483,Top Shelf Productions
484,Melville House
485,Brilliance
486,Morrow Gift
487,Hodder & Stoughton
488,DC Black Label
489,"Voracious/Little, Brown"
490,Sophia Institute
491,Freeform
492,Swoon Reads
493,Top Shelf
494,Dark Horse
495,Gallery/Scout
496,Andy Cohen/Holt
497,Chronicle Prism
498,Bold Type
499,Rodale Kids
500,Crown Books for Young Readers
501,Entangled: Teen
502,HMH Audio
503,One Signal/Atria
504,Humanix
505,Podium
506,Dark Horse Books
507,All Points
508,Zondervan Reflective
509,Novel Audio
510,Amistad
511,PublicAffairs
512,Abingdon
513,Elephant Room
514,Vertel
515,"Melcher Media/MCD/Farrar, Straus & Giroux"
516,MTV Books
517,Waterhouse
518,Feiwel and Friends
519,Quirk/Penguin
520,Insight Comics
521,Vision
522,Speak
523,Nan A. Talese/Doubleday
524,Steerforth
525,Disney/Hyperion
526,DC Ink
527,Image Comics
528,Putman
529,Front Line
530,Shadow Mountain
531,"Philomel, hardcover; Puffin, paper"
532,Dark Horse Comics
533,Arthur A. Levine
534,Citadel
535,Triumph
536,Audible Original
537,BenBella
538,Melville
539,Blue Heron Audio
540,Bolinda
541,HighBridge
542,University of Texas
543,Balzer & Bray
544,Harper Design
545,W Publishing/Thomas Nelson
546,Sports Illustrated
547,Crown/Archetype
548,Graphix
549,Penguin Random House Audio Publishing Group
550,Weldon Owen
551,Baen
552,Blink
553,"Little, Brown and Knopf"
554,Harper Wave/HarperCollins
555,Cipher-Naught
556,NYLA
557,Rick Riordan
558,Haymarket
559,Atria/37 INK
560,Red Dress
561,Regnery Kids
562,Phoenix
563,BAAE
564,Washington Square Press
565,Timbuktu Labs
566,Tantor Audio
567,Waterbrook
568,Flatiron Books
569,Thomas Dunne
570,Greystone
571,Jimmy Patterson
572,Atria/Keywords
573,Nation Books
574,Godwin/Holt
575,Da Capo
576,BookShots
577,Dangerous Books
578,37 INK/Atria
579,Atlantic Monthly
580,Ghost Mountain
581,Cemetery Dance
582,Vintage Departures
583,North Star Way
584,Greenleaf
585,Windblown Media
586,Forge Books
587,Seven Stories
588,Valkyrie
589,New American Library/Berkley
590,"Jimmy Patterson/Little, Brown"
591,Harlequin Teen
592,Library of America
593,Golden Unicorn Enterprises
594,"Neal Porter/Roaring Brook, hardcover and paper"
