list_id,list_name
1,Combined Print and E-Book Fiction
2,Combined Print and E-Book Nonfiction
3,Hardcover Fiction
4,Hardcover Nonfiction
5,Trade Fiction Paperback
6,Paperback Nonfiction
7,Advice How-To and Miscellaneous
8,Childrens Middle Grade Hardcover
9,Picture Books
10,Series Books
11,Young Adult Hardcover
12,Audio Fiction
13,Audio Nonfiction
14,Business Books
15,Science
16,Sports
17,Graphic Books and Manga
18,Mass Market Monthly
19,Middle Grade Paperback Monthly
20,Young Adult Paperback Monthly
21,Mass Market Paperback
22,E-Book Fiction
23,E-Book Nonfiction
24,Hardcover Graphic Books
25,Paperback Graphic Books
26,Manga
27,Childrens Middle Grade E-Book
28,Childrens Middle Grade Paperback
29,Young Adult E-Book
30,Young Adult Paperback
31,Animals
32,Celebrities
33,Crime and Punishment
34,Culture
35,Education
36,Espionage
37,Expeditions Disasters and Adventures
38,Fashion Manners and Customs
39,Food and Fitness
40,Games and Activities
41,Health
42,Humor
43,Relationships
44,Family
45,Hardcover Political Books
46,Race and Civil Rights
47,Religion Spirituality and Faith
48,Travel
49,Indigenous Americans
50,Childrens Middle Grade
51,Young Adult
52,Hardcover Business Books
53,Paperback Business Books
54,Hardcover Advice
55,Paperback Advice
56,Combined Print Fiction
57,Combined Print Nonfiction
58,Chapter Books
59,Paperback Books
